"bibtype","author","title","journal","publisher","doi","url","fulltext","related","year","abstract","note","type"
"Article","MA Williamson and L Parrott and NH Carter and {...}","Implementation resistance and the human dimensions of connectivity planning","People and …","search.proquest.com","","https://search.proquest.com/openview/c276db7e888228117070ad325035c8ca/1?pq-origsite=gscholar\&cbl=4570187\&casa_token=ErDDFvgpuhgAAAAA:5k9BqENygFazjZL-0uBAG_BdDwlQRhNn0rh44D53JQDj0cOnUfKd9YMfcQs9XNYdUizOFE2MIkHu","https://search.proquest.com/openview/c276db7e888228117070ad325035c8ca/1?pq-origsite=gscholar\&cbl=4570187\&casa_token=ErDDFvgpuhgAAAAA:5k9BqENygFazjZL-0uBAG_BdDwlQRhNn0rh44D53JQDj0cOnUfKd9YMfcQs9XNYdUizOFE2MIkHu","https://scholar.google.com/scholar?q=related:NM7Pp076j1EJ:scholar.google.com/\&scioq=%22ecological+connectivity%22%7C%22habitat+connectivity%22%7C%22landscape+connectivity%22%7C%22conservation+corridors%22%7C%22ecological+corridors%22%7C%22functional+connectivity%22%7C%22connectivity+planning%22+%22biodiversity%22%7C%22ecosystem+services%22%7C%22gene+flow%22%7C%22species+dispersal%22%7C%22pollination%22%7C%22population+viability%22%7C%22metapopulation+dynamics%22+%22climate+adaptation%22%7C%22climate+corridors%22%7C%22climate+refugia%22%7C%22range+shifts%22%7C%22species+redistribution%22%7C%22landscape+permeability%22+%22livelihoods%22%7C%22human+wellbeing%22%7C%22nature%27s+contributions+to+people%22%7C%22disaster+risk+reduction%22+%22invasive+species%22%7C%22outbreeding+depression%22%7C%22inbreeding+depression%22%7C%22genetic+swamping%22%7C%22zoonotic+disease%22%7C%22disease+spread%22%7C%22pathogen+transmission%22%7C%22wildlife+disease%22%7C%22human+wildlife+conflict%22%7C%22crop+damage%22%7C%22livestock+depredation%22%7C%22maladaptive+restoration%22%7C%22assisted+migration%22%7C%22climate+mismatch%22+%22indigenous+knowledge%22%7C%22traditional+ecological+knowledge%22%7C%22local+ecological+knowledge%22%7C%22community+based+knowledge%22%7C%22ilk%22+%22systematic+review%22%7C%22review%22%7C%22meta+analysis%22%7C%22literature+review%22%7C%22evidence+synthesis%22%7C%22assessment%22%7C%22technical+report%22%7C%22government+report%22%7C%22policy+report%22%7C%22white+paper%22\&hl=en\&as_sdt=2007\&as_ylo=2000\&as_yhi=2026","2023","… intensive agriculture are interspersed with areas of high biodiversity value (Ellis, 2019). In … or restoring ecological connectivity as a key biodiversity conservation and climate adaptation …","10 cites: https://scholar.google.com/scholar?cites=5877191254471593524\&as_sdt=2005\&sciodt=2007\&hl=en","HTML"
"Article","HKH HKH and L Chad","CBD 80 Central Asia 152 Central Europe 57 changed environment 152 climate adaptation 120","Biodiversity and Climate Change: Achieving the …","researchgate.net","","https://www.researchgate.net/profile/Sunita-Chaudhary-2/publication/279204833_Payment_for_envIronmental_servIces_as_an_approach_for_bIodIversIty_conservatIon_and_economIc_development_In_the_context_of_clImate_change/links/559081dc08ae1e1f9bae1dff/Payment-for-envIronmental-servIces-as-an-approach-for-bIodIversIty-conservatIon-and-economIc-development-In-the-context-of-clImate-change.pdf#page=157","https://www.researchgate.net/profile/Sunita-Chaudhary-2/publication/279204833_Payment_for_envIronmental_servIces_as_an_approach_for_bIodIversIty_conservatIon_and_economIc_development_In_the_context_of_clImate_change/links/559081dc08ae1e1f9bae1dff/Payment-for-envIronmental-servIces-as-an-approach-for-bIodIversIty-conservatIon-and-economIc-development-In-the-context-of-clImate-change.pdf#page=157","https://scholar.google.com/scholar?q=related:qdsFQy2ZQiQJ:scholar.google.com/\&scioq=%22ecological+connectivity%22%7C%22habitat+connectivity%22%7C%22landscape+connectivity%22%7C%22conservation+corridors%22%7C%22ecological+corridors%22%7C%22functional+connectivity%22%7C%22connectivity+planning%22+%22biodiversity%22%7C%22ecosystem+services%22%7C%22gene+flow%22%7C%22species+dispersal%22%7C%22pollination%22%7C%22population+viability%22%7C%22metapopulation+dynamics%22+%22climate+adaptation%22%7C%22climate+corridors%22%7C%22climate+refugia%22%7C%22range+shifts%22%7C%22species+redistribution%22%7C%22landscape+permeability%22+%22livelihoods%22%7C%22human+wellbeing%22%7C%22nature%27s+contributions+to+people%22%7C%22disaster+risk+reduction%22+%22invasive+species%22%7C%22outbreeding+depression%22%7C%22inbreeding+depression%22%7C%22genetic+swamping%22%7C%22zoonotic+disease%22%7C%22disease+spread%22%7C%22pathogen+transmission%22%7C%22wildlife+disease%22%7C%22human+wildlife+conflict%22%7C%22crop+damage%22%7C%22livestock+depredation%22%7C%22maladaptive+restoration%22%7C%22assisted+migration%22%7C%22climate+mismatch%22+%22indigenous+knowledge%22%7C%22traditional+ecological+knowledge%22%7C%22local+ecological+knowledge%22%7C%22community+based+knowledge%22%7C%22ilk%22+%22systematic+review%22%7C%22review%22%7C%22meta+analysis%22%7C%22literature+review%22%7C%22evidence+synthesis%22%7C%22assessment%22%7C%22technical+report%22%7C%22government+report%22%7C%22policy+report%22%7C%22white+paper%22\&hl=en\&as_sdt=2007\&as_ylo=2000\&as_yhi=2026","","… community development 114 Community involvement 22 community livelihoods 120 conservation 66, 99, 120, 122 conservation concepts 16 conservation corridors 42 conservation …","Query date: 2026-01-22 12:33:10","PDF"
"Article","F YU and B ZHANG and J WANG and X ZHANG and Y YAO","Suggestions for the Qinling National Park Construction based on experiences of international large-scale ecological corridors","Journal of Natural …","jnr.ac.cn","","https://www.jnr.ac.cn/EN/abstract/article/1000-3037/50559","https://www.jnr.ac.cn/EN/abstract/article/1000-3037/50559","https://scholar.google.com/scholar?q=related:yoUcQONCrKYJ:scholar.google.com/\&scioq=%22ecological+connectivity%22%7C%22habitat+connectivity%22%7C%22landscape+connectivity%22%7C%22conservation+corridors%22%7C%22ecological+corridors%22%7C%22functional+connectivity%22%7C%22connectivity+planning%22+%22biodiversity%22%7C%22ecosystem+services%22%7C%22gene+flow%22%7C%22species+dispersal%22%7C%22pollination%22%7C%22population+viability%22%7C%22metapopulation+dynamics%22+%22climate+adaptation%22%7C%22climate+corridors%22%7C%22climate+refugia%22%7C%22range+shifts%22%7C%22species+redistribution%22%7C%22landscape+permeability%22+%22livelihoods%22%7C%22human+wellbeing%22%7C%22nature%27s+contributions+to+people%22%7C%22disaster+risk+reduction%22+%22invasive+species%22%7C%22outbreeding+depression%22%7C%22inbreeding+depression%22%7C%22genetic+swamping%22%7C%22zoonotic+disease%22%7C%22disease+spread%22%7C%22pathogen+transmission%22%7C%22wildlife+disease%22%7C%22human+wildlife+conflict%22%7C%22crop+damage%22%7C%22livestock+depredation%22%7C%22maladaptive+restoration%22%7C%22assisted+migration%22%7C%22climate+mismatch%22+%22indigenous+knowledge%22%7C%22traditional+ecological+knowledge%22%7C%22local+ecological+knowledge%22%7C%22community+based+knowledge%22%7C%22ilk%22+%22systematic+review%22%7C%22review%22%7C%22meta+analysis%22%7C%22literature+review%22%7C%22evidence+synthesis%22%7C%22assessment%22%7C%22technical+report%22%7C%22government+report%22%7C%22policy+report%22%7C%22white+paper%22\&hl=en\&as_sdt=2007\&as_ylo=2000\&as_yhi=2026","2021","… ecological corridors have been considered to be the best strategy for protecting the long-term biodiversity … that large-scale connectivity conservation and ecological corridors are of great …","20 cites: https://scholar.google.com/scholar?cites=12010047850090890698\&as_sdt=2005\&sciodt=2007\&hl=en","HTML"
"Book","L O'Connor","Nature-based solutions to multiple crises: scaling urban implementation in cities in Asia and the Pacific","","UN. ESCAP","",NA,NA,"https://scholar.google.com/scholar?q=related:TkGfrqp4NS8J:scholar.google.com/\&scioq=%22ecological+connectivity%22%7C%22habitat+connectivity%22%7C%22landscape+connectivity%22%7C%22conservation+corridors%22%7C%22ecological+corridors%22%7C%22functional+connectivity%22%7C%22connectivity+planning%22+%22biodiversity%22%7C%22ecosystem+services%22%7C%22gene+flow%22%7C%22species+dispersal%22%7C%22pollination%22%7C%22population+viability%22%7C%22metapopulation+dynamics%22+%22climate+adaptation%22%7C%22climate+corridors%22%7C%22climate+refugia%22%7C%22range+shifts%22%7C%22species+redistribution%22%7C%22landscape+permeability%22+%22livelihoods%22%7C%22human+wellbeing%22%7C%22nature%27s+contributions+to+people%22%7C%22disaster+risk+reduction%22+%22invasive+species%22%7C%22outbreeding+depression%22%7C%22inbreeding+depression%22%7C%22genetic+swamping%22%7C%22zoonotic+disease%22%7C%22disease+spread%22%7C%22pathogen+transmission%22%7C%22wildlife+disease%22%7C%22human+wildlife+conflict%22%7C%22crop+damage%22%7C%22livestock+depredation%22%7C%22maladaptive+restoration%22%7C%22assisted+migration%22%7C%22climate+mismatch%22+%22indigenous+knowledge%22%7C%22traditional+ecological+knowledge%22%7C%22local+ecological+knowledge%22%7C%22community+based+knowledge%22%7C%22ilk%22+%22systematic+review%22%7C%22review%22%7C%22meta+analysis%22%7C%22literature+review%22%7C%22evidence+synthesis%22%7C%22assessment%22%7C%22technical+report%22%7C%22government+report%22%7C%22policy+report%22%7C%22white+paper%22\&hl=en\&as_sdt=2007\&as_ylo=2000\&as_yhi=2026","2025",NA,"Query date: 2026-01-22 12:33:10","CITATION"
"Book","C Moran and S Boulter","Biodiversity and ecosystems climate adaptation plan","","qld.gov.au","","https://www.qld.gov.au/__data/assets/pdf_file/0022/87610/b-e-cap.pdf","https://www.qld.gov.au/__data/assets/pdf_file/0022/87610/b-e-cap.pdf","https://scholar.google.com/scholar?q=related:GnS4L1B6rqMJ:scholar.google.com/\&scioq=%22ecological+connectivity%22%7C%22habitat+connectivity%22%7C%22landscape+connectivity%22%7C%22conservation+corridors%22%7C%22ecological+corridors%22%7C%22functional+connectivity%22%7C%22connectivity+planning%22+%22biodiversity%22%7C%22ecosystem+services%22%7C%22gene+flow%22%7C%22species+dispersal%22%7C%22pollination%22%7C%22population+viability%22%7C%22metapopulation+dynamics%22+%22climate+adaptation%22%7C%22climate+corridors%22%7C%22climate+refugia%22%7C%22range+shifts%22%7C%22species+redistribution%22%7C%22landscape+permeability%22+%22livelihoods%22%7C%22human+wellbeing%22%7C%22nature%27s+contributions+to+people%22%7C%22disaster+risk+reduction%22+%22invasive+species%22%7C%22outbreeding+depression%22%7C%22inbreeding+depression%22%7C%22genetic+swamping%22%7C%22zoonotic+disease%22%7C%22disease+spread%22%7C%22pathogen+transmission%22%7C%22wildlife+disease%22%7C%22human+wildlife+conflict%22%7C%22crop+damage%22%7C%22livestock+depredation%22%7C%22maladaptive+restoration%22%7C%22assisted+migration%22%7C%22climate+mismatch%22+%22indigenous+knowledge%22%7C%22traditional+ecological+knowledge%22%7C%22local+ecological+knowledge%22%7C%22community+based+knowledge%22%7C%22ilk%22+%22systematic+review%22%7C%22review%22%7C%22meta+analysis%22%7C%22literature+review%22%7C%22evidence+synthesis%22%7C%22assessment%22%7C%22technical+report%22%7C%22government+report%22%7C%22policy+report%22%7C%22white+paper%22\&hl=en\&as_sdt=2007\&as_ylo=2000\&as_yhi=2026","2018","… , we risk missing opportunities to help biodiversity adapt. At worst, our management could … to biodiversity and ecosystem management (eg protected areas, increased habitat connectivity…","4 cites: https://scholar.google.com/scholar?cites=11794498958946497562\&as_sdt=2005\&sciodt=2007\&hl=en","BOOK"
"Article","C Podda and EMD Porporato","Marine spatial planning for connectivity and conservation through ecological corridors between marine protected areas and other effective area-based …","Frontiers in Marine Science","frontiersin.org","10.3389/fmars.2023.1271397","https://www.frontiersin.org/journals/marine-science/articles/10.3389/fmars.2023.1271397/full","https://www.frontiersin.org/journals/marine-science/articles/10.3389/fmars.2023.1271397/full","https://scholar.google.com/scholar?q=related:TG8YnxUGBacJ:scholar.google.com/\&scioq=%22ecological+connectivity%22%7C%22habitat+connectivity%22%7C%22landscape+connectivity%22%7C%22conservation+corridors%22%7C%22ecological+corridors%22%7C%22functional+connectivity%22%7C%22connectivity+planning%22+%22biodiversity%22%7C%22ecosystem+services%22%7C%22gene+flow%22%7C%22species+dispersal%22%7C%22pollination%22%7C%22population+viability%22%7C%22metapopulation+dynamics%22+%22climate+adaptation%22%7C%22climate+corridors%22%7C%22climate+refugia%22%7C%22range+shifts%22%7C%22species+redistribution%22%7C%22landscape+permeability%22+%22livelihoods%22%7C%22human+wellbeing%22%7C%22nature%27s+contributions+to+people%22%7C%22disaster+risk+reduction%22+%22invasive+species%22%7C%22outbreeding+depression%22%7C%22inbreeding+depression%22%7C%22genetic+swamping%22%7C%22zoonotic+disease%22%7C%22disease+spread%22%7C%22pathogen+transmission%22%7C%22wildlife+disease%22%7C%22human+wildlife+conflict%22%7C%22crop+damage%22%7C%22livestock+depredation%22%7C%22maladaptive+restoration%22%7C%22assisted+migration%22%7C%22climate+mismatch%22+%22indigenous+knowledge%22%7C%22traditional+ecological+knowledge%22%7C%22local+ecological+knowledge%22%7C%22community+based+knowledge%22%7C%22ilk%22+%22systematic+review%22%7C%22review%22%7C%22meta+analysis%22%7C%22literature+review%22%7C%22evidence+synthesis%22%7C%22assessment%22%7C%22technical+report%22%7C%22government+report%22%7C%22policy+report%22%7C%22white+paper%22\&hl=en\&as_sdt=2007\&as_ylo=2000\&as_yhi=2026","2023","… (ECs) are an important type of connectivity for biodiversity … study ecological connectivity at sea. In particular, this section describes existing studies focused on the ecological connectivity …","25 cites: https://scholar.google.com/scholar?cites=12035032269150777164\&as_sdt=2005\&sciodt=2007\&hl=en","HTML"
"Article","S Favargiotti and A Pianegonda and A Betta and {...}","The SATURN Pan European Project: Cross-Border and Cross-Practice Approaches for Urban/Rural Linkages towards Climate Adaptation","… Landscapes in Policy …","taylorfrancis.com","10.4324/9781003025894-15","https://www.taylorfrancis.com/chapters/edit/10.4324/9781003025894-15/saturn-pan-european-project-cross-border-cross-practice-approaches-urban-rural-linkages-towards-climate-adaptation-sara-favargiotti-angelica-pianegonda-alessandro-betta-anastasia-nikologianni-kathryn-moore-marco-ciolli-elisa-morganti-martin-berg-bodil-elmqvist-anna-ternell-anders-nilsson-alessandro-gretter",NA,"https://scholar.google.com/scholar?q=related:hRafvpEH7OwJ:scholar.google.com/\&scioq=%22ecological+connectivity%22%7C%22habitat+connectivity%22%7C%22landscape+connectivity%22%7C%22conservation+corridors%22%7C%22ecological+corridors%22%7C%22functional+connectivity%22%7C%22connectivity+planning%22+%22biodiversity%22%7C%22ecosystem+services%22%7C%22gene+flow%22%7C%22species+dispersal%22%7C%22pollination%22%7C%22population+viability%22%7C%22metapopulation+dynamics%22+%22climate+adaptation%22%7C%22climate+corridors%22%7C%22climate+refugia%22%7C%22range+shifts%22%7C%22species+redistribution%22%7C%22landscape+permeability%22+%22livelihoods%22%7C%22human+wellbeing%22%7C%22nature%27s+contributions+to+people%22%7C%22disaster+risk+reduction%22+%22invasive+species%22%7C%22outbreeding+depression%22%7C%22inbreeding+depression%22%7C%22genetic+swamping%22%7C%22zoonotic+disease%22%7C%22disease+spread%22%7C%22pathogen+transmission%22%7C%22wildlife+disease%22%7C%22human+wildlife+conflict%22%7C%22crop+damage%22%7C%22livestock+depredation%22%7C%22maladaptive+restoration%22%7C%22assisted+migration%22%7C%22climate+mismatch%22+%22indigenous+knowledge%22%7C%22traditional+ecological+knowledge%22%7C%22local+ecological+knowledge%22%7C%22community+based+knowledge%22%7C%22ilk%22+%22systematic+review%22%7C%22review%22%7C%22meta+analysis%22%7C%22literature+review%22%7C%22evidence+synthesis%22%7C%22assessment%22%7C%22technical+report%22%7C%22government+report%22%7C%22policy+report%22%7C%22white+paper%22\&hl=en\&as_sdt=2007\&as_ylo=2000\&as_yhi=2026","2023","… For example, the pollination of fruit trees takes place thanks … to decrease so that ecological corridors useful for animals and … not take biodiversity and ecological connectivity aspects into …","1 cites: https://scholar.google.com/scholar?cites=17072028610004457093\&as_sdt=2005\&sciodt=2007\&hl=en",NA
"Article","Z Tian and S Liu and W Wang and Y Li and J Lin and Y Zhao and G Wu","Response of regional ecological network change and its interaction with ecosystem services associated with “Shan-Shui initiative” projects","Ecological Frontiers","Elsevier","","https://www.sciencedirect.com/science/article/pii/S2950509725001005",NA,"https://scholar.google.com/scholar?q=related:DTIdIW4Q07YJ:scholar.google.com/\&scioq=%22ecological+connectivity%22%7C%22habitat+connectivity%22%7C%22landscape+connectivity%22%7C%22conservation+corridors%22%7C%22ecological+corridors%22%7C%22functional+connectivity%22%7C%22connectivity+planning%22+%22biodiversity%22%7C%22ecosystem+services%22%7C%22gene+flow%22%7C%22species+dispersal%22%7C%22pollination%22%7C%22population+viability%22%7C%22metapopulation+dynamics%22+%22climate+adaptation%22%7C%22climate+corridors%22%7C%22climate+refugia%22%7C%22range+shifts%22%7C%22species+redistribution%22%7C%22landscape+permeability%22+%22livelihoods%22%7C%22human+wellbeing%22%7C%22nature%27s+contributions+to+people%22%7C%22disaster+risk+reduction%22+%22invasive+species%22%7C%22outbreeding+depression%22%7C%22inbreeding+depression%22%7C%22genetic+swamping%22%7C%22zoonotic+disease%22%7C%22disease+spread%22%7C%22pathogen+transmission%22%7C%22wildlife+disease%22%7C%22human+wildlife+conflict%22%7C%22crop+damage%22%7C%22livestock+depredation%22%7C%22maladaptive+restoration%22%7C%22assisted+migration%22%7C%22climate+mismatch%22+%22indigenous+knowledge%22%7C%22traditional+ecological+knowledge%22%7C%22local+ecological+knowledge%22%7C%22community+based+knowledge%22%7C%22ilk%22+%22systematic+review%22%7C%22review%22%7C%22meta+analysis%22%7C%22literature+review%22%7C%22evidence+synthesis%22%7C%22assessment%22%7C%22technical+report%22%7C%22government+report%22%7C%22policy+report%22%7C%22white+paper%22\&hl=en\&as_sdt=2007\&as_ylo=2000\&as_yhi=2026","2025","… enhanced ecological connectivity, with the Integral Connectivity Index (IIC) increasing by 47.93 % and the Probability of Connectivity (PC) increasing by 28.88 %. Ecological corridors …","Query date: 2026-01-22 12:33:10",NA
"Book","V Graham and T Auld and L Beaumont and L Bell and S Dunford and {...}","Embedding biodiversity research into climate adaptation policy and practice","","Wiley Online Library","10.1111/gcb.15770","https://onlinelibrary.wiley.com/doi/abs/10.1111/gcb.15770","https://onlinelibrary.wiley.com/doi/pdf/10.1111/gcb.15770","https://scholar.google.com/scholar?q=related:jCMKYk4cQMwJ:scholar.google.com/\&scioq=%22ecological+connectivity%22%7C%22habitat+connectivity%22%7C%22landscape+connectivity%22%7C%22conservation+corridors%22%7C%22ecological+corridors%22%7C%22functional+connectivity%22%7C%22connectivity+planning%22+%22biodiversity%22%7C%22ecosystem+services%22%7C%22gene+flow%22%7C%22species+dispersal%22%7C%22pollination%22%7C%22population+viability%22%7C%22metapopulation+dynamics%22+%22climate+adaptation%22%7C%22climate+corridors%22%7C%22climate+refugia%22%7C%22range+shifts%22%7C%22species+redistribution%22%7C%22landscape+permeability%22+%22livelihoods%22%7C%22human+wellbeing%22%7C%22nature%27s+contributions+to+people%22%7C%22disaster+risk+reduction%22+%22invasive+species%22%7C%22outbreeding+depression%22%7C%22inbreeding+depression%22%7C%22genetic+swamping%22%7C%22zoonotic+disease%22%7C%22disease+spread%22%7C%22pathogen+transmission%22%7C%22wildlife+disease%22%7C%22human+wildlife+conflict%22%7C%22crop+damage%22%7C%22livestock+depredation%22%7C%22maladaptive+restoration%22%7C%22assisted+migration%22%7C%22climate+mismatch%22+%22indigenous+knowledge%22%7C%22traditional+ecological+knowledge%22%7C%22local+ecological+knowledge%22%7C%22community+based+knowledge%22%7C%22ilk%22+%22systematic+review%22%7C%22review%22%7C%22meta+analysis%22%7C%22literature+review%22%7C%22evidence+synthesis%22%7C%22assessment%22%7C%22technical+report%22%7C%22government+report%22%7C%22policy+report%22%7C%22white+paper%22\&hl=en\&as_sdt=2007\&as_ylo=2000\&as_yhi=2026","2021","… Increased capacity to identify and protect ‘refugial’ environments for biodiversity conservation and an enhanced understanding of the role of landscape connectivity (eg development of …","5 cites: https://scholar.google.com/scholar?cites=14717794705224639372\&as_sdt=2005\&sciodt=2007\&hl=en",NA
"Article","DM Theobald and D Harrison-Atlas and WB Monahan and {...}","Ecologically-relevant maps of landforms and physiographic diversity for climate adaptation planning","PloS one","journals.plos.org","","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0143619\&utm_source=Newsletter+1.20.16\&utm_campaign=Constant+Contact\&utm_medium=email","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0143619\&utm_source=Newsletter+1.20.16\&utm_campaign=Constant+Contact\&utm_medium=email","https://scholar.google.com/scholar?q=related:0_9ogBsQqj4J:scholar.google.com/\&scioq=%22ecological+connectivity%22%7C%22habitat+connectivity%22%7C%22landscape+connectivity%22%7C%22conservation+corridors%22%7C%22ecological+corridors%22%7C%22functional+connectivity%22%7C%22connectivity+planning%22+%22biodiversity%22%7C%22ecosystem+services%22%7C%22gene+flow%22%7C%22species+dispersal%22%7C%22pollination%22%7C%22population+viability%22%7C%22metapopulation+dynamics%22+%22climate+adaptation%22%7C%22climate+corridors%22%7C%22climate+refugia%22%7C%22range+shifts%22%7C%22species+redistribution%22%7C%22landscape+permeability%22+%22livelihoods%22%7C%22human+wellbeing%22%7C%22nature%27s+contributions+to+people%22%7C%22disaster+risk+reduction%22+%22invasive+species%22%7C%22outbreeding+depression%22%7C%22inbreeding+depression%22%7C%22genetic+swamping%22%7C%22zoonotic+disease%22%7C%22disease+spread%22%7C%22pathogen+transmission%22%7C%22wildlife+disease%22%7C%22human+wildlife+conflict%22%7C%22crop+damage%22%7C%22livestock+depredation%22%7C%22maladaptive+restoration%22%7C%22assisted+migration%22%7C%22climate+mismatch%22+%22indigenous+knowledge%22%7C%22traditional+ecological+knowledge%22%7C%22local+ecological+knowledge%22%7C%22community+based+knowledge%22%7C%22ilk%22+%22systematic+review%22%7C%22review%22%7C%22meta+analysis%22%7C%22literature+review%22%7C%22evidence+synthesis%22%7C%22assessment%22%7C%22technical+report%22%7C%22government+report%22%7C%22policy+report%22%7C%22white+paper%22\&hl=en\&as_sdt=2007\&as_ylo=2000\&as_yhi=2026","2015","… species and biodiversity to inform climate adaptation planning … practical advantage for climate adaptation because it isolates … potential to inform climate adaptation strategies by helping …","330 cites: https://scholar.google.com/scholar?cites=4515439286696869843\&as_sdt=2005\&sciodt=2007\&hl=en","HTML"
"Article","L Qu and H Wang and J Xia","Urban Forests and Green Environments for Sustainable Cities: Knowledge Landscape, Research Trends, and Future Directions","Forests","mdpi.com","","https://www.mdpi.com/1999-4907/16/11/1675","https://www.mdpi.com/1999-4907/16/11/1675","https://scholar.google.com/scholar?q=related:8ahI7qzhi8kJ:scholar.google.com/\&scioq=%22ecological+connectivity%22%7C%22habitat+connectivity%22%7C%22landscape+connectivity%22%7C%22conservation+corridors%22%7C%22ecological+corridors%22%7C%22functional+connectivity%22%7C%22connectivity+planning%22+%22biodiversity%22%7C%22ecosystem+services%22%7C%22gene+flow%22%7C%22species+dispersal%22%7C%22pollination%22%7C%22population+viability%22%7C%22metapopulation+dynamics%22+%22climate+adaptation%22%7C%22climate+corridors%22%7C%22climate+refugia%22%7C%22range+shifts%22%7C%22species+redistribution%22%7C%22landscape+permeability%22+%22livelihoods%22%7C%22human+wellbeing%22%7C%22nature%27s+contributions+to+people%22%7C%22disaster+risk+reduction%22+%22invasive+species%22%7C%22outbreeding+depression%22%7C%22inbreeding+depression%22%7C%22genetic+swamping%22%7C%22zoonotic+disease%22%7C%22disease+spread%22%7C%22pathogen+transmission%22%7C%22wildlife+disease%22%7C%22human+wildlife+conflict%22%7C%22crop+damage%22%7C%22livestock+depredation%22%7C%22maladaptive+restoration%22%7C%22assisted+migration%22%7C%22climate+mismatch%22+%22indigenous+knowledge%22%7C%22traditional+ecological+knowledge%22%7C%22local+ecological+knowledge%22%7C%22community+based+knowledge%22%7C%22ilk%22+%22systematic+review%22%7C%22review%22%7C%22meta+analysis%22%7C%22literature+review%22%7C%22evidence+synthesis%22%7C%22assessment%22%7C%22technical+report%22%7C%22government+report%22%7C%22policy+report%22%7C%22white+paper%22\&hl=en\&as_sdt=2007\&as_ylo=2000\&as_yhi=2026","2025","… as critical carriers for biodiversity conservation, with ecological connectivity and functional … five dimensions—climate adaptation, public health, quality of life, ecosystem services, and …","1 cites: https://scholar.google.com/scholar?cites=14522949556234660081\&as_sdt=2005\&sciodt=2007\&hl=en","HTML"
"Article","S Zhang and Y Chen and W Zang and X Wu and PGP Ericson and {...}","Hybridization mitigates climate change risk in mountainous birds","Nature Climate …","nature.com","","https://www.nature.com/articles/s41558-025-02485-w",NA,"https://scholar.google.com/scholar?q=related:2IoC0_SydmoJ:scholar.google.com/\&scioq=%22ecological+connectivity%22%7C%22habitat+connectivity%22%7C%22landscape+connectivity%22%7C%22conservation+corridors%22%7C%22ecological+corridors%22%7C%22functional+connectivity%22%7C%22connectivity+planning%22+%22biodiversity%22%7C%22ecosystem+services%22%7C%22gene+flow%22%7C%22species+dispersal%22%7C%22pollination%22%7C%22population+viability%22%7C%22metapopulation+dynamics%22+%22climate+adaptation%22%7C%22climate+corridors%22%7C%22climate+refugia%22%7C%22range+shifts%22%7C%22species+redistribution%22%7C%22landscape+permeability%22+%22livelihoods%22%7C%22human+wellbeing%22%7C%22nature%27s+contributions+to+people%22%7C%22disaster+risk+reduction%22+%22invasive+species%22%7C%22outbreeding+depression%22%7C%22inbreeding+depression%22%7C%22genetic+swamping%22%7C%22zoonotic+disease%22%7C%22disease+spread%22%7C%22pathogen+transmission%22%7C%22wildlife+disease%22%7C%22human+wildlife+conflict%22%7C%22crop+damage%22%7C%22livestock+depredation%22%7C%22maladaptive+restoration%22%7C%22assisted+migration%22%7C%22climate+mismatch%22+%22indigenous+knowledge%22%7C%22traditional+ecological+knowledge%22%7C%22local+ecological+knowledge%22%7C%22community+based+knowledge%22%7C%22ilk%22+%22systematic+review%22%7C%22review%22%7C%22meta+analysis%22%7C%22literature+review%22%7C%22evidence+synthesis%22%7C%22assessment%22%7C%22technical+report%22%7C%22government+report%22%7C%22policy+report%22%7C%22white+paper%22\&hl=en\&as_sdt=2007\&as_ylo=2000\&as_yhi=2026","2025","… gene flow would mitigate climate change risk to future climate change. In addition, we used landscape connectivity … and climate adaptation, we demonstrate that gene flow can reduce …","1 cites: https://scholar.google.com/scholar?cites=7671515779854142168\&as_sdt=2005\&sciodt=2007\&hl=en",NA
